yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,h2b,h3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro,yearid-2,teamid-2,lgid-2,playerid,salary
2014,AL,TEX,TEX,W,5,162,81,67,95,N,N,N,N,637,5460,1400,260,28,111,417,1162,105,59,61,45,773,711,4.49,6,17,33,4279,1510,160,505,1110,106,155,0.982,Texas Rangers,Rangers Ballpark in Arlington,2718733,101,101,TEX,TEX,TEX,1985,TEX,AL,tananfr01,590000
2015,AL,TEX,TEX,W,1,162,81,88,74,Y,N,N,N,751,5511,1419,279,32,172,503,1233,101,39,76,54,733,680,4.24,5,9,45,4328,1459,171,508,1095,119,169,0.981,Texas Rangers,Rangers Ballpark in Arlington,2491875,102,105,TEX,TEX,TEX,1985,TEX,AL,tananfr01,590000
2016,AL,TEX,TEX,W,1,162,81,95,67,Y,N,N,N,765,5525,1446,257,23,215,436,1220,99,36,70,40,757,700,4.37,1,6,56,4329,1441,201,534,1154,97,190,0.984,Texas Rangers,Rangers Ballpark in Arlington,2710402,106,105,TEX,TEX,TEX,1985,TEX,AL,tananfr01,590000
2000,AL,TEX,TEX,W,4,162,81,71,91,N,N,N,N,848,5648,1601,330,35,173,580,922,69,47,39,48,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162,0.978,Texas Rangers,The Ballpark at Arlington,2588401,102,102,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2001,AL,TEX,TEX,W,4,162,82,73,89,N,N,N,N,890,5685,1566,326,23,246,548,1093,97,32,75,55,968,913,5.71,4,3,37,4315,1670,222,596,951,114,167,0.981,Texas Rangers,The Ballpark at Arlington,2831021,104,105,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2002,AL,TEX,TEX,W,4,162,80,72,90,N,N,N,N,843,5618,1510,304,27,230,554,1055,62,34,62,50,882,824,5.15,4,4,33,4319,1528,194,669,1030,99,152,0.984,Texas Rangers,The Ballpark at Arlington,2352397,106,107,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2003,AL,TEX,TEX,W,4,162,81,71,91,N,N,N,N,826,5664,1506,274,36,239,488,1052,65,25,75,42,969,903,5.67,4,3,43,4300,1625,208,603,1009,94,168,0.985,Texas Rangers,The Ballpark at Arlington,2094394,111,111,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2004,AL,TEX,TEX,W,3,162,81,89,73,N,N,N,N,860,5615,1492,323,34,227,500,1099,69,36,61,57,794,724,4.53,5,9,52,4319,1536,182,547,979,117,152,0.981,Texas Rangers,The Ballpark at Arlington,2513685,108,109,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2005,AL,TEX,TEX,W,3,162,81,79,83,N,N,N,N,865,5716,1528,311,29,260,495,1112,67,15,48,32,858,794,4.96,2,6,46,4320,1589,159,522,932,108,149,0.982,Texas Rangers,Ameriquest Field,2525221,106,106,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2006,AL,TEX,TEX,W,3,162,81,80,82,N,N,N,N,835,5659,1571,357,23,183,505,1061,53,24,40,50,784,731,4.6,3,8,42,4294,1558,162,496,972,98,174,0.984,Texas Rangers,Ameriquest Field,2388757,101,101,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2007,AL,TEX,TEX,W,4,162,81,75,87,N,N,N,N,816,5555,1460,298,36,179,503,1224,88,25,56,42,844,755,4.75,0,6,42,4290,1525,155,668,976,124,179,0.98,Texas Rangers,Rangers Ballpark in Arlington,2353862,101,101,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2008,AL,TEX,TEX,W,2,162,81,79,83,N,N,N,N,901,5728,1619,376,35,194,595,1207,81,25,63,54,967,860,5.37,6,8,36,4326,1647,176,625,963,132,191,0.978,Texas Rangers,Rangers Ballpark in Arlington,1945677,102,102,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2009,AL,TEX,TEX,W,2,162,81,87,75,N,N,N,N,784,5526,1436,296,27,224,472,1253,149,36,37,51,740,698,4.38,8,11,45,4304,1432,171,531,1016,106,168,0.982,Texas Rangers,Rangers Ballpark in Arlington,2156016,104,104,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2010,AL,TEX,TEX,W,1,162,81,90,72,Y,N,Y,N,787,5635,1556,268,25,162,511,986,123,48,45,54,687,636,3.93,7,8,46,4366,1355,162,551,1181,105,133,0.982,Texas Rangers,Rangers Ballpark in Arlington,2505171,105,104,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2011,AL,TEX,TEX,W,1,162,81,96,66,Y,N,Y,N,855,5659,1599,310,32,210,475,930,143,45,39,49,677,607,3.79,10,19,38,4324,1327,170,461,1179,114,164,0.981,Texas Rangers,Rangers Ballpark in Arlington,2946949,117,115,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2012,AL,TEX,TEX,W,2,162,81,93,69,N,Y,N,N,808,5590,1526,303,32,200,478,1103,91,44,57,53,707,639,3.99,7,10,43,4326,1378,175,446,1286,85,136,0.986,Texas Rangers,Rangers Ballpark in Arlington,3460280,112,111,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2013,AL,TEX,TEX,W,2,163,82,91,72,N,N,N,N,730,5585,1465,262,23,176,462,1067,149,46,61,42,636,589,3.62,4,10,46,4390,1370,157,498,1309,86,146,0.986,Texas Rangers,Rangers Ballpark in Arlington,3178273,104,103,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2014,AL,TEX,TEX,W,5,162,81,67,95,N,N,N,N,637,5460,1400,260,28,111,417,1162,105,59,61,45,773,711,4.49,6,17,33,4279,1510,160,505,1110,106,155,0.982,Texas Rangers,Rangers Ballpark in Arlington,2718733,101,101,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2015,AL,TEX,TEX,W,1,162,81,88,74,Y,N,N,N,751,5511,1419,279,32,172,503,1233,101,39,76,54,733,680,4.24,5,9,45,4328,1459,171,508,1095,119,169,0.981,Texas Rangers,Rangers Ballpark in Arlington,2491875,102,105,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2016,AL,TEX,TEX,W,1,162,81,95,67,Y,N,N,N,765,5525,1446,257,23,215,436,1220,99,36,70,40,757,700,4.37,1,6,56,4329,1441,201,534,1154,97,190,0.984,Texas Rangers,Rangers Ballpark in Arlington,2710402,106,105,TEX,TEX,TEX,1985,TEX,AL,tollewa01,135000
2000,AL,TEX,TEX,W,4,162,81,71,91,N,N,N,N,848,5648,1601,330,35,173,580,922,69,47,39,48,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162,0.978,Texas Rangers,The Ballpark at Arlington,2588401,102,102,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2001,AL,TEX,TEX,W,4,162,82,73,89,N,N,N,N,890,5685,1566,326,23,246,548,1093,97,32,75,55,968,913,5.71,4,3,37,4315,1670,222,596,951,114,167,0.981,Texas Rangers,The Ballpark at Arlington,2831021,104,105,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2002,AL,TEX,TEX,W,4,162,80,72,90,N,N,N,N,843,5618,1510,304,27,230,554,1055,62,34,62,50,882,824,5.15,4,4,33,4319,1528,194,669,1030,99,152,0.984,Texas Rangers,The Ballpark at Arlington,2352397,106,107,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2003,AL,TEX,TEX,W,4,162,81,71,91,N,N,N,N,826,5664,1506,274,36,239,488,1052,65,25,75,42,969,903,5.67,4,3,43,4300,1625,208,603,1009,94,168,0.985,Texas Rangers,The Ballpark at Arlington,2094394,111,111,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2004,AL,TEX,TEX,W,3,162,81,89,73,N,N,N,N,860,5615,1492,323,34,227,500,1099,69,36,61,57,794,724,4.53,5,9,52,4319,1536,182,547,979,117,152,0.981,Texas Rangers,The Ballpark at Arlington,2513685,108,109,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2005,AL,TEX,TEX,W,3,162,81,79,83,N,N,N,N,865,5716,1528,311,29,260,495,1112,67,15,48,32,858,794,4.96,2,6,46,4320,1589,159,522,932,108,149,0.982,Texas Rangers,Ameriquest Field,2525221,106,106,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2006,AL,TEX,TEX,W,3,162,81,80,82,N,N,N,N,835,5659,1571,357,23,183,505,1061,53,24,40,50,784,731,4.6,3,8,42,4294,1558,162,496,972,98,174,0.984,Texas Rangers,Ameriquest Field,2388757,101,101,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2007,AL,TEX,TEX,W,4,162,81,75,87,N,N,N,N,816,5555,1460,298,36,179,503,1224,88,25,56,42,844,755,4.75,0,6,42,4290,1525,155,668,976,124,179,0.98,Texas Rangers,Rangers Ballpark in Arlington,2353862,101,101,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2008,AL,TEX,TEX,W,2,162,81,79,83,N,N,N,N,901,5728,1619,376,35,194,595,1207,81,25,63,54,967,860,5.37,6,8,36,4326,1647,176,625,963,132,191,0.978,Texas Rangers,Rangers Ballpark in Arlington,1945677,102,102,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2009,AL,TEX,TEX,W,2,162,81,87,75,N,N,N,N,784,5526,1436,296,27,224,472,1253,149,36,37,51,740,698,4.38,8,11,45,4304,1432,171,531,1016,106,168,0.982,Texas Rangers,Rangers Ballpark in Arlington,2156016,104,104,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2010,AL,TEX,TEX,W,1,162,81,90,72,Y,N,Y,N,787,5635,1556,268,25,162,511,986,123,48,45,54,687,636,3.93,7,8,46,4366,1355,162,551,1181,105,133,0.982,Texas Rangers,Rangers Ballpark in Arlington,2505171,105,104,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2011,AL,TEX,TEX,W,1,162,81,96,66,Y,N,Y,N,855,5659,1599,310,32,210,475,930,143,45,39,49,677,607,3.79,10,19,38,4324,1327,170,461,1179,114,164,0.981,Texas Rangers,Rangers Ballpark in Arlington,2946949,117,115,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2012,AL,TEX,TEX,W,2,162,81,93,69,N,Y,N,N,808,5590,1526,303,32,200,478,1103,91,44,57,53,707,639,3.99,7,10,43,4326,1378,175,446,1286,85,136,0.986,Texas Rangers,Rangers Ballpark in Arlington,3460280,112,111,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2013,AL,TEX,TEX,W,2,163,82,91,72,N,N,N,N,730,5585,1465,262,23,176,462,1067,149,46,61,42,636,589,3.62,4,10,46,4390,1370,157,498,1309,86,146,0.986,Texas Rangers,Rangers Ballpark in Arlington,3178273,104,103,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2014,AL,TEX,TEX,W,5,162,81,67,95,N,N,N,N,637,5460,1400,260,28,111,417,1162,105,59,61,45,773,711,4.49,6,17,33,4279,1510,160,505,1110,106,155,0.982,Texas Rangers,Rangers Ballpark in Arlington,2718733,101,101,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2015,AL,TEX,TEX,W,1,162,81,88,74,Y,N,N,N,751,5511,1419,279,32,172,503,1233,101,39,76,54,733,680,4.24,5,9,45,4328,1459,171,508,1095,119,169,0.981,Texas Rangers,Rangers Ballpark in Arlington,2491875,102,105,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2016,AL,TEX,TEX,W,1,162,81,95,67,Y,N,N,N,765,5525,1446,257,23,215,436,1220,99,36,70,40,757,700,4.37,1,6,56,4329,1441,201,534,1154,97,190,0.984,Texas Rangers,Rangers Ballpark in Arlington,2710402,106,105,TEX,TEX,TEX,1985,TEX,AL,walkedu01,185000
2000,AL,TEX,TEX,W,4,162,81,71,91,N,N,N,N,848,5648,1601,330,35,173,580,922,69,47,39,48,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162,0.978,Texas Rangers,The Ballpark at Arlington,2588401,102,102,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2001,AL,TEX,TEX,W,4,162,82,73,89,N,N,N,N,890,5685,1566,326,23,246,548,1093,97,32,75,55,968,913,5.71,4,3,37,4315,1670,222,596,951,114,167,0.981,Texas Rangers,The Ballpark at Arlington,2831021,104,105,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2002,AL,TEX,TEX,W,4,162,80,72,90,N,N,N,N,843,5618,1510,304,27,230,554,1055,62,34,62,50,882,824,5.15,4,4,33,4319,1528,194,669,1030,99,152,0.984,Texas Rangers,The Ballpark at Arlington,2352397,106,107,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2003,AL,TEX,TEX,W,4,162,81,71,91,N,N,N,N,826,5664,1506,274,36,239,488,1052,65,25,75,42,969,903,5.67,4,3,43,4300,1625,208,603,1009,94,168,0.985,Texas Rangers,The Ballpark at Arlington,2094394,111,111,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2004,AL,TEX,TEX,W,3,162,81,89,73,N,N,N,N,860,5615,1492,323,34,227,500,1099,69,36,61,57,794,724,4.53,5,9,52,4319,1536,182,547,979,117,152,0.981,Texas Rangers,The Ballpark at Arlington,2513685,108,109,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2005,AL,TEX,TEX,W,3,162,81,79,83,N,N,N,N,865,5716,1528,311,29,260,495,1112,67,15,48,32,858,794,4.96,2,6,46,4320,1589,159,522,932,108,149,0.982,Texas Rangers,Ameriquest Field,2525221,106,106,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2006,AL,TEX,TEX,W,3,162,81,80,82,N,N,N,N,835,5659,1571,357,23,183,505,1061,53,24,40,50,784,731,4.6,3,8,42,4294,1558,162,496,972,98,174,0.984,Texas Rangers,Ameriquest Field,2388757,101,101,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2007,AL,TEX,TEX,W,4,162,81,75,87,N,N,N,N,816,5555,1460,298,36,179,503,1224,88,25,56,42,844,755,4.75,0,6,42,4290,1525,155,668,976,124,179,0.98,Texas Rangers,Rangers Ballpark in Arlington,2353862,101,101,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2008,AL,TEX,TEX,W,2,162,81,79,83,N,N,N,N,901,5728,1619,376,35,194,595,1207,81,25,63,54,967,860,5.37,6,8,36,4326,1647,176,625,963,132,191,0.978,Texas Rangers,Rangers Ballpark in Arlington,1945677,102,102,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2009,AL,TEX,TEX,W,2,162,81,87,75,N,N,N,N,784,5526,1436,296,27,224,472,1253,149,36,37,51,740,698,4.38,8,11,45,4304,1432,171,531,1016,106,168,0.982,Texas Rangers,Rangers Ballpark in Arlington,2156016,104,104,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2010,AL,TEX,TEX,W,1,162,81,90,72,Y,N,Y,N,787,5635,1556,268,25,162,511,986,123,48,45,54,687,636,3.93,7,8,46,4366,1355,162,551,1181,105,133,0.982,Texas Rangers,Rangers Ballpark in Arlington,2505171,105,104,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2011,AL,TEX,TEX,W,1,162,81,96,66,Y,N,Y,N,855,5659,1599,310,32,210,475,930,143,45,39,49,677,607,3.79,10,19,38,4324,1327,170,461,1179,114,164,0.981,Texas Rangers,Rangers Ballpark in Arlington,2946949,117,115,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2012,AL,TEX,TEX,W,2,162,81,93,69,N,Y,N,N,808,5590,1526,303,32,200,478,1103,91,44,57,53,707,639,3.99,7,10,43,4326,1378,175,446,1286,85,136,0.986,Texas Rangers,Rangers Ballpark in Arlington,3460280,112,111,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2013,AL,TEX,TEX,W,2,163,82,91,72,N,N,N,N,730,5585,1465,262,23,176,462,1067,149,46,61,42,636,589,3.62,4,10,46,4390,1370,157,498,1309,86,146,0.986,Texas Rangers,Rangers Ballpark in Arlington,3178273,104,103,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2014,AL,TEX,TEX,W,5,162,81,67,95,N,N,N,N,637,5460,1400,260,28,111,417,1162,105,59,61,45,773,711,4.49,6,17,33,4279,1510,160,505,1110,106,155,0.982,Texas Rangers,Rangers Ballpark in Arlington,2718733,101,101,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2015,AL,TEX,TEX,W,1,162,81,88,74,Y,N,N,N,751,5511,1419,279,32,172,503,1233,101,39,76,54,733,680,4.24,5,9,45,4328,1459,171,508,1095,119,169,0.981,Texas Rangers,Rangers Ballpark in Arlington,2491875,102,105,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2016,AL,TEX,TEX,W,1,162,81,95,67,Y,N,N,N,765,5525,1446,257,23,215,436,1220,99,36,70,40,757,700,4.37,1,6,56,4329,1441,201,534,1154,97,190,0.984,Texas Rangers,Rangers Ballpark in Arlington,2710402,106,105,TEX,TEX,TEX,1985,TEX,AL,wardga01,720000
2000,AL,TEX,TEX,W,4,162,81,71,91,N,N,N,N,848,5648,1601,330,35,173,580,922,69,47,39,48,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162,0.978,Texas Rangers,The Ballpark at Arlington,2588401,102,102,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2001,AL,TEX,TEX,W,4,162,82,73,89,N,N,N,N,890,5685,1566,326,23,246,548,1093,97,32,75,55,968,913,5.71,4,3,37,4315,1670,222,596,951,114,167,0.981,Texas Rangers,The Ballpark at Arlington,2831021,104,105,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2002,AL,TEX,TEX,W,4,162,80,72,90,N,N,N,N,843,5618,1510,304,27,230,554,1055,62,34,62,50,882,824,5.15,4,4,33,4319,1528,194,669,1030,99,152,0.984,Texas Rangers,The Ballpark at Arlington,2352397,106,107,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2003,AL,TEX,TEX,W,4,162,81,71,91,N,N,N,N,826,5664,1506,274,36,239,488,1052,65,25,75,42,969,903,5.67,4,3,43,4300,1625,208,603,1009,94,168,0.985,Texas Rangers,The Ballpark at Arlington,2094394,111,111,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2004,AL,TEX,TEX,W,3,162,81,89,73,N,N,N,N,860,5615,1492,323,34,227,500,1099,69,36,61,57,794,724,4.53,5,9,52,4319,1536,182,547,979,117,152,0.981,Texas Rangers,The Ballpark at Arlington,2513685,108,109,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2005,AL,TEX,TEX,W,3,162,81,79,83,N,N,N,N,865,5716,1528,311,29,260,495,1112,67,15,48,32,858,794,4.96,2,6,46,4320,1589,159,522,932,108,149,0.982,Texas Rangers,Ameriquest Field,2525221,106,106,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2006,AL,TEX,TEX,W,3,162,81,80,82,N,N,N,N,835,5659,1571,357,23,183,505,1061,53,24,40,50,784,731,4.6,3,8,42,4294,1558,162,496,972,98,174,0.984,Texas Rangers,Ameriquest Field,2388757,101,101,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2007,AL,TEX,TEX,W,4,162,81,75,87,N,N,N,N,816,5555,1460,298,36,179,503,1224,88,25,56,42,844,755,4.75,0,6,42,4290,1525,155,668,976,124,179,0.98,Texas Rangers,Rangers Ballpark in Arlington,2353862,101,101,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2008,AL,TEX,TEX,W,2,162,81,79,83,N,N,N,N,901,5728,1619,376,35,194,595,1207,81,25,63,54,967,860,5.37,6,8,36,4326,1647,176,625,963,132,191,0.978,Texas Rangers,Rangers Ballpark in Arlington,1945677,102,102,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2009,AL,TEX,TEX,W,2,162,81,87,75,N,N,N,N,784,5526,1436,296,27,224,472,1253,149,36,37,51,740,698,4.38,8,11,45,4304,1432,171,531,1016,106,168,0.982,Texas Rangers,Rangers Ballpark in Arlington,2156016,104,104,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2010,AL,TEX,TEX,W,1,162,81,90,72,Y,N,Y,N,787,5635,1556,268,25,162,511,986,123,48,45,54,687,636,3.93,7,8,46,4366,1355,162,551,1181,105,133,0.982,Texas Rangers,Rangers Ballpark in Arlington,2505171,105,104,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2011,AL,TEX,TEX,W,1,162,81,96,66,Y,N,Y,N,855,5659,1599,310,32,210,475,930,143,45,39,49,677,607,3.79,10,19,38,4324,1327,170,461,1179,114,164,0.981,Texas Rangers,Rangers Ballpark in Arlington,2946949,117,115,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2012,AL,TEX,TEX,W,2,162,81,93,69,N,Y,N,N,808,5590,1526,303,32,200,478,1103,91,44,57,53,707,639,3.99,7,10,43,4326,1378,175,446,1286,85,136,0.986,Texas Rangers,Rangers Ballpark in Arlington,3460280,112,111,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2013,AL,TEX,TEX,W,2,163,82,91,72,N,N,N,N,730,5585,1465,262,23,176,462,1067,149,46,61,42,636,589,3.62,4,10,46,4390,1370,157,498,1309,86,146,0.986,Texas Rangers,Rangers Ballpark in Arlington,3178273,104,103,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2014,AL,TEX,TEX,W,5,162,81,67,95,N,N,N,N,637,5460,1400,260,28,111,417,1162,105,59,61,45,773,711,4.49,6,17,33,4279,1510,160,505,1110,106,155,0.982,Texas Rangers,Rangers Ballpark in Arlington,2718733,101,101,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2015,AL,TEX,TEX,W,1,162,81,88,74,Y,N,N,N,751,5511,1419,279,32,172,503,1233,101,39,76,54,733,680,4.24,5,9,45,4328,1459,171,508,1095,119,169,0.981,Texas Rangers,Rangers Ballpark in Arlington,2491875,102,105,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2016,AL,TEX,TEX,W,1,162,81,95,67,Y,N,N,N,765,5525,1446,257,23,215,436,1220,99,36,70,40,757,700,4.37,1,6,56,4329,1441,201,534,1154,97,190,0.984,Texas Rangers,Rangers Ballpark in Arlington,2710402,106,105,TEX,TEX,TEX,1985,TEX,AL,wrighge03,400000
2000,AL,TOR,TOR,E,3,162,81,83,79,N,N,N,N,861,5677,1562,328,21,244,526,1026,89,34,60,34,908,821,5.14,15,4,37,4312,1615,195,560,978,100,176,0.984,Toronto Blue Jays,Skydome,1705712,103,103,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2001,AL,TOR,TOR,E,3,162,82,80,82,N,N,N,N,767,5663,1489,287,36,195,470,1094,156,55,74,43,753,696,4.28,7,10,41,4388,1553,165,490,1041,97,184,0.985,Toronto Blue Jays,Skydome,1915438,102,103,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2002,AL,TOR,TOR,E,3,162,81,78,84,N,N,N,N,813,5581,1457,305,38,187,522,1142,71,18,53,57,828,767,4.8,6,6,41,4315,1504,177,590,991,107,159,0.982,Toronto Blue Jays,Skydome,1637900,104,104,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2003,AL,TOR,TOR,E,3,162,81,86,76,N,N,N,N,894,5661,1580,357,33,190,546,1081,37,25,90,56,826,748,4.69,14,6,35,4305,1560,184,485,984,117,161,0.981,Toronto Blue Jays,Skydome,1799458,104,104,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2004,AL,TOR,TOR,E,5,161,81,67,94,N,N,N,N,719,5531,1438,290,34,145,513,1083,58,31,71,42,823,775,4.91,6,11,37,4263,1505,181,608,956,91,150,0.985,Toronto Blue Jays,Skydome,1900041,104,104,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2005,AL,TOR,TOR,E,3,162,81,80,82,N,N,N,N,775,5581,1480,307,39,136,486,955,72,35,89,56,705,653,4.06,9,8,35,4341,1475,185,444,958,95,154,0.985,Toronto Blue Jays,Rogers Centre,2014995,102,102,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2006,AL,TOR,TOR,E,2,162,81,87,75,N,N,N,N,809,5596,1591,348,27,199,514,906,65,33,63,52,754,694,4.37,6,6,42,4285,1447,185,504,1076,99,157,0.984,Toronto Blue Jays,Rogers Centre,2302212,100,100,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2007,AL,TOR,TOR,E,3,162,81,83,79,N,N,N,N,753,5536,1434,344,24,165,533,1044,57,22,47,48,699,644,4,11,9,44,4346,1383,157,479,1067,102,160,0.984,Toronto Blue Jays,Rogers Centre,2360644,100,99,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2008,AL,TOR,TOR,E,4,162,81,86,76,N,N,N,N,714,5503,1453,303,32,126,521,938,80,27,59,56,610,561,3.49,15,13,44,4340,1330,134,467,1184,84,137,0.986,Toronto Blue Jays,Rogers Centre,2399786,98,97,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2009,AL,TOR,TOR,E,4,162,81,75,87,N,N,N,N,798,5696,1516,339,13,209,548,1028,73,23,45,49,771,720,4.47,10,10,25,4353,1509,181,551,1181,76,168,0.988,Toronto Blue Jays,Rogers Centre,1876129,100,99,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2010,AL,TOR,TOR,E,4,162,78,85,77,N,N,N,N,755,5495,1364,319,21,257,471,1164,58,20,55,34,728,676,4.22,5,11,45,4322,1407,150,539,1184,92,172,0.985,Toronto Blue Jays,Rogers Centre,1625555,100,100,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2011,AL,TOR,TOR,E,4,162,81,81,81,N,N,N,N,743,5559,1384,285,34,186,525,1184,131,52,48,47,761,700,4.32,7,10,33,4376,1433,179,540,1169,110,148,0.982,Toronto Blue Jays,Rogers Centre,1818103,104,104,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2012,AL,TOR,TOR,E,4,162,81,73,89,N,N,N,N,716,5487,1346,247,22,198,473,1251,123,41,55,45,784,745,4.64,5,11,29,4331,1439,204,574,1142,101,167,0.984,Toronto Blue Jays,Rogers Centre,2099663,103,104,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2013,AL,TOR,TOR,E,5,162,81,74,88,N,N,N,N,712,5537,1398,273,24,185,510,1123,112,41,38,38,756,685,4.25,4,11,39,4356,1451,195,500,1208,111,145,0.982,Toronto Blue Jays,Rogers Centre,2536562,102,102,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2014,AL,TOR,TOR,E,3,162,81,83,79,N,N,N,N,723,5549,1435,282,24,177,502,1151,78,21,41,40,686,642,4,3,16,45,4329,1400,151,490,1199,87,130,0.985,Toronto Blue Jays,Rogers Centre,2375525,102,102,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2015,AL,TOR,TOR,E,1,162,81,93,69,Y,N,N,N,891,5509,1480,308,17,232,570,1151,88,23,54,62,670,609,3.8,7,10,34,4323,1353,173,397,1117,88,145,0.985,Toronto Blue Jays,Rogers Centre,2794891,99,98,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
2016,AL,TOR,TOR,E,2,162,81,89,73,N,Y,N,N,759,5479,1358,276,18,221,632,1362,54,24,55,40,666,613,3.78,0,10,43,4378,1340,183,461,1314,88,144,0.986,Toronto Blue Jays,Rogers Centre,3392099,111,110,TOR,TOR,TOR,1985,TOR,AL,ackerji01,170000
